index,descriptors,relative_frequency
"Riesling, Mosel, Germany",apple,0.09
"Zinfandel, Napa Valley, North Coast, California, USA",ripe,0.14
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",fruit,0.23
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",citrus,0.13
"Riesling, Willamette Valley, Oregon, USA",fruit,0.16
"Gruner Veltliner, Burgenland, Austria",ripe,0.20
"Syrah, Monterey, Central Coast, California, USA",blackberry,0.29
"Pinot Grigio, San Luis Obispo, Central Coast, California, USA",citrus,0.26
"Pinot Noir, Burgenland, Austria",cherry,0.22
"Riesling, Central Otago, New Zealand",apple,0.17
"Riesling, Canterbury and Waipara, New Zealand",ripe,0.18
"Cabernet Sauvignon, Coastal Region, South Africa",berry,0.08
"Pinot Grigio, Willamette Valley, Oregon, USA",fruit,0.21
"Chardonnay, Finger Lakes, New York, USA",fruit,0.11
"Chardonnay, Maule Valley, Central Valley, Chile",apple,0.19
"Cabernet Franc, Columbia Valley, Washington, USA",fruit,0.22
"Cabernet Franc, Sierra Foothills, California, USA",cherry,0.36
"Merlot, Napa Valley, North Coast, California, USA",cherry,0.30
"Viognier, Santa Barbara, Central Coast, California, USA",minerality,0.12
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",citrus,0.15
"Sauvignon Blanc, Wairarapa, New Zealand",peach,0.10
"Chardonnay, Marlborough, New Zealand",oak,0.15
"Syrah, San Francisco Bay, Central Coast, California, USA",blackberry,0.19
"White Blend, Columbia Valley, Washington, USA",fruit,0.11
"Chardonnay, San Francisco Bay, Central Coast, California, USA",oak,0.19
"Merlot, Hawkes Bay, New Zealand",cherry,0.26
"Syrah, Napa Valley, North Coast, California, USA",ripe,0.22
"Bordeaux-style Red Blend, Long Island, New York, USA",cherry,0.19
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",blackberry,0.27
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",cherry,0.08
"Sangiovese, Santa Barbara, Central Coast, California, USA",cherry,0.25
"Chardonnay, San Luis Obispo, Central Coast, California, USA",oak,0.14
"Syrah, Inland Valleys, California, USA",cherry,0.22
"Syrah, Cachapoal Valley, Central Valley, Chile",jam,0.08
"Pinot Grigio, Columbia Valley, Washington, USA",fruit,0.20
"Syrah, Alentejo, Portugal",perfumed,0.26
"Gruner Veltliner, Niederosterreich, Austria",fruit,0.16
"Chardonnay, Inland Valleys, California, USA",lactic,0.12
"Malbec, Columbia Valley, Washington, USA",fruit,0.16
"Pinot Grigio, Southern Oregon, Oregon, USA",pear,0.29
"Tempranillo, Inland Valleys, California, USA",cherry,0.41
"Pinot Noir, Niederosterreich, Austria",cherry,0.19
"Cabernet Sauvignon, Finger Lakes, New York, USA",ripe,0.15
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",cherry,0.35
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",cherry,0.11
"Cabernet Sauvignon, Monterey, Central Coast, California, USA",blackberry,0.29
"Pinot Noir, Monterey, Central Coast, California, USA",cherry,0.27
"Merlot, Paso Robles, Central Coast, California, USA",cherry,0.31
"Riesling, Rheinhessen, Germany",ripe,0.15
"Riesling, Rheingau, Germany",flower,0.08
"Pinot Noir, Finger Lakes, New York, USA",cherry,0.18
"Pinot Noir, Santa Barbara, Central Coast, California, USA",cherry,0.29
"Merlot, Columbia Valley, Washington, USA",fruit,0.22
"Pinot Noir, Wairarapa, New Zealand",cherry,0.21
"Merlot, Maipo Valley, Central Valley, Chile",earth,0.11
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",earth,0.11
"Cabernet Franc, Long Island, New York, USA",smoke,0.12
"Sangiovese, Napa Valley, North Coast, California, USA",cherry,0.29
"Sauvignon Blanc, Coastal Region, South Africa",gooseberry,0.13
"White Blend, Burgenland, Austria",apricot,0.15
"Syrah, Paso Robles, Central Coast, California, USA",blackberry,0.20
"Chardonnay, Breede River Valley",citrus,0.14
"Syrah, Columbia Valley, Washington, USA",fruit,0.21
"Syrah, Columbia Valley, Oregon, USA",flower,0.16
"Syrah, Sierra Foothills, California, USA",blackberry,0.17
"Chardonnay, Paso Robles, Central Coast, California, USA",oak,0.15
"Syrah, Southern Oregon, Oregon, USA",fruit,0.12
"Syrah, Maipo Valley, Central Valley, Chile",earth,0.08
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",blackberry,0.26
"Chardonnay, Columbia Valley, Washington, USA",fruit,0.21
"Chardonnay, Maipo Valley, Central Valley, Chile",apple,0.12
"Zinfandel, San Francisco Bay, Central Coast, California, USA",blackberry,0.20
"Pinot Noir, Napa Valley, North Coast, California, USA",cherry,0.30
"Tempranillo, Sierra Foothills, California, USA",fruit,0.21
"Tempranillo, Columbia Valley, Washington, USA",smoke,0.12
"Tempranillo, Southern Oregon, Oregon, USA",oak,0.10
"Cabernet Sauvignon, Inland Valleys, California, USA",oak,0.09
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",berry,0.18
"Syrah, Casablanca Valley, Aconcagua Region, Chile",fruit,0.23
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",citrus,0.20
"Merlot, Sonoma Valley, North Coast, California, USA",cherry,0.26
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",toast,0.13
"Grenache, Santa Barbara, Central Coast, California, USA",cherry,0.55
"Zinfandel, Inland Valleys, California, USA",ripe,0.11
"Merlot, San Francisco Bay, Central Coast, California, USA",fruit,0.20
"Sauvignon Blanc, Monterey, Central Coast, California, USA",citrus,0.28
"Sauvignon Blanc, Finger Lakes, New York, USA",apple,0.12
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",citrus,0.22
"Syrah, Sonoma Valley, North Coast, California, USA",blackberry,0.23
"Chardonnay, Long Island, New York, USA",oak,0.14
"Chardonnay, Sonoma Valley, North Coast, California, USA",oak,0.14
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",blackberry,0.22
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",earth,0.13
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",earth,0.08
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",fruit,0.29
"Sauvignon Blanc, Cape South Coast, South Africa",citrus,0.16
"Syrah, San Luis Obispo, Central Coast, California, USA",ripe,0.18
"Riesling, Niederosterreich, Austria",perfumed,0.16
"Zinfandel, Paso Robles, Central Coast, California, USA",ripe,0.11
"Riesling, Santa Barbara, Central Coast, California, USA",citrus,0.31
"Zinfandel, Columbia Valley, Washington, USA",raspberry,0.13
"Zinfandel, Sierra Foothills, California, USA",ripe,0.11
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",citrus,0.22
"Chardonnay, Willamette Valley, Oregon, USA",fruit,0.21
"Chardonnay, Canterbury and Waipara, New Zealand",toast,0.12
"Chardonnay, Central Otago, New Zealand",toast,0.53
"Viognier, Inland Valleys, California, USA",pineapple,0.17
"White Blend, Southern Greece, Greece",flower,0.22
"Sauvignon Blanc, Hawkes Bay, New Zealand",grapefruit,0.20
"Merlot, Southern Oregon, Oregon, USA",fruit,0.33
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",blackberry,0.23
"Syrah, Breede River Valley",ripe,0.22
"Pinot Noir, Marlborough, New Zealand",cherry,0.26
"Grenache, Paso Robles, Central Coast, California, USA",cherry,0.39
"Pinot Noir, Sonoma Valley, North Coast, California, USA",cherry,0.26
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",blackberry,0.18
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",salinity,0.19
"White Blend, Coastal Region, South Africa",minerality,0.12
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",cherry,0.27
"Zinfandel, Sonoma Valley, North Coast, California, USA",ripe,0.15
"Viognier, Paso Robles, Central Coast, California, USA",fruit,0.16
"Viognier, Columbia Valley, Washington, USA",citrus,0.14
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",citrus,0.26
"Viognier, Sierra Foothills, California, USA",ripe,0.16
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",cherry,0.36
"Viognier, Southern Oregon, Oregon, USA",flower,0.22
"Merlot, Rapel Valley, Central Valley, Chile",cherry,0.15
"Merlot, Napa-Sonoma, North Coast, California, USA",cherry,0.22
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",citrus,0.13
"Pinot Noir, Willamette Valley, Oregon, USA",fruit,0.19
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",blackberry,0.29
"Merlot, Long Island, New York, USA",cherry,0.12
"Petite Sirah, Napa Valley, North Coast, California, USA",blackberry,0.28
"Pinot Noir, San Benito, Central Coast, California, USA",ripe,0.25
"Syrah, Napa-Sonoma, North Coast, California, USA",blackberry,0.18
"Sangiovese, Paso Robles, Central Coast, California, USA",cherry,0.49
"Petite Sirah, Inland Valleys, California, USA",fruit,0.13
"Chardonnay, Napa-Sonoma, North Coast, California, USA",ripe,0.16
"Sangiovese, Columbia Valley, Washington, USA",fruit,0.19
"Sangiovese, Sierra Foothills, California, USA",cherry,0.33
"Merlot, Galilee, Israel",ripe,0.12
"Pinot Noir, San Antonio, Aconcagua Region, Chile",berry,0.12
"Viognier, Sonoma Valley, North Coast, California, USA",fruit,0.13
"Cabernet Sauvignon, Columbia Valley, Washington, USA",fruit,0.22
"Sauvignon Blanc, Marlborough, New Zealand",herb,0.12
"Cabernet Sauvignon, Sierra Foothills, California, USA",ripe,0.25
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",citrus,0.16
"Syrah, Galilee, Israel",ripe,0.14
"Cabernet Sauvignon, Southern Oregon, Oregon, USA",herb,0.28
"White Blend, Macedonia, Greece",flower,0.12
"Chardonnay, Burgenland, Austria",fruit,0.12
"Pinot Noir, Paso Robles, Central Coast, California, USA",cherry,0.21
"Riesling, Monterey, Central Coast, California, USA",citrus,0.21
"Pinot Noir, Southern Oregon, Oregon, USA",fruit,0.19
"Malbec, Colchagua Valley, Central Valley, Chile",rubber,0.10
"Riesling, Finger Lakes, New York, USA",flower,0.09
"Chardonnay, Galilee, Israel",ripe,0.20
"Cabernet Franc, Napa Valley, North Coast, California, USA",cherry,0.49
"Petite Sirah, Paso Robles, Central Coast, California, USA",blackberry,0.21
"Merlot, Curico Valley, Central Valley, Chile",berry,0.18
"Pinot Grigio, Monterey, Central Coast, California, USA",citrus,0.17
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",citrus,0.11
"Pinot Grigio, Finger Lakes, New York, USA",lemon,0.11
"Pinot Noir, Nelson, New Zealand",cherry,0.20
"Pinot Grigio, Santa Barbara, Central Coast, California, USA",citrus,0.22
"Bordeaux-style Red Blend, Coastal Region, South Africa",cassis,0.08
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",spice,0.11
"Sangiovese, Sonoma Valley, North Coast, California, USA",cherry,0.50
"Riesling, Pfalz, Germany",minerality,0.11
"Chardonnay, Gisborne, New Zealand",toast,0.15
"White Blend, Napa Valley, North Coast, California, USA",oak,0.17
"Cabernet Sauvignon, Napa-Sonoma, North Coast, California, USA",blackberry,0.37
"Chardonnay, Auckland, New Zealand",smoke,0.22
"Merlot, Santa Barbara, Central Coast, California, USA",cherry,0.34
"Cabernet Sauvignon, Long Island, New York, USA",cedar,0.14
"Syrah, Hawkes Bay, New Zealand",ripe,0.09
"Grenache, Columbia Valley, Washington, USA",ripe,0.12
"Syrah, Santa Barbara, Central Coast, California, USA",ripe,0.12
"Cabernet Sauvignon, Galilee, Israel",cassis,0.12
"Chardonnay, Monterey, Central Coast, California, USA",oak,0.12
"Riesling, Nahe, Germany",minerality,0.10
"Petite Sirah, Sonoma Valley, North Coast, California, USA",ripe,0.10
"Chardonnay, Santa Barbara, Central Coast, California, USA",oak,0.12
"Sauvignon Blanc, Columbia Valley, Washington, USA",grass,0.13
"Sauvignon Blanc, Sierra Foothills, California, USA",fruit,0.09
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",blackberry,0.15
"Bordeaux-style Red Blend, Finger Lakes, New York, USA",ripe,0.17
"Sauvignon Blanc, Steiermark, Austria",herbacious,0.13
"Pinot Noir, Canterbury and Waipara, New Zealand",smoke,0.15
"Pinot Noir, Central Otago, New Zealand",fruit,0.08
"Sauvignon Blanc, Nelson, New Zealand",leafy,0.08
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",tropical_fruit,0.08
"Cabernet Franc, Finger Lakes, New York, USA",cherry,0.15
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",herb,0.08
"Merlot, Coastal Region, South Africa",berry,0.14
"Riesling, Columbia Valley, Washington, USA",ripe,0.08
"Chardonnay, Napa Valley, North Coast, California, USA",ripe,0.13
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",ripe,0.16
"Sauvignon Blanc, Long Island, New York, USA",tropical_fruit,0.15
"Sauvignon Blanc, Limari Valley, Coquimbo Region, Chile",citrus,0.12
"Syrah, Coastal Region, South Africa",berry,0.09
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",blackberry,0.24
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",fruit,0.12
"Chardonnay, Coastal Region, South Africa",ripe,0.12
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",cherry,0.10
"Merlot, Colchagua Valley, Central Valley, Chile",berry,0.07
"Petite Sirah, Sierra Foothills, California, USA",berry,0.16
"Riesling, Marlborough, New Zealand",lime,0.13
"Merlot, Monterey, Central Coast, California, USA",ripe,0.22
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",ripe,0.11
"Merlot, Finger Lakes, New York, USA",oak,0.09
"Pinot Grigio, Marlborough, New Zealand",honey,0.11
"Syrah, Colchagua Valley, Central Valley, Chile",plum,0.06
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",pineapple,0.13
"Merlot, Maule Valley, Central Valley, Chile",berry,0.10
"Chardonnay, Hawkes Bay, New Zealand",ripe,0.10
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",ripe,0.20
"Chardonnay, Colchagua Valley, Central Valley, Chile",tropical_fruit,0.12
"Riesling, Mosel, Germany",honey,0.08
"Zinfandel, Napa Valley, North Coast, California, USA",fruit,0.13
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",herb,0.06
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",apple,0.10
"Riesling, Willamette Valley, Oregon, USA",lemon,0.12
"Gruner Veltliner, Burgenland, Austria",pear,0.10
"Syrah, Monterey, Central Coast, California, USA",ripe,0.11
"Pinot Grigio, San Luis Obispo, Central Coast, California, USA",oak,0.18
"Pinot Noir, Burgenland, Austria",wood,0.12
"Riesling, Central Otago, New Zealand",flower,0.14
"Riesling, Canterbury and Waipara, New Zealand",honey,0.16
"Cabernet Sauvignon, Coastal Region, South Africa",cherry,0.07
"Pinot Grigio, Willamette Valley, Oregon, USA",pear,0.11
"Chardonnay, Finger Lakes, New York, USA",apple,0.09
"Chardonnay, Maule Valley, Central Valley, Chile",ripe,0.13
"Cabernet Franc, Columbia Valley, Washington, USA",herb,0.08
"Cabernet Franc, Sierra Foothills, California, USA",pepper,0.10
"Merlot, Napa Valley, North Coast, California, USA",ripe,0.15
"Viognier, Santa Barbara, Central Coast, California, USA",tropical_fruit,0.11
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",ripe,0.11
"Sauvignon Blanc, Wairarapa, New Zealand",herb,0.10
"Chardonnay, Marlborough, New Zealand",citrus,0.08
"Syrah, San Francisco Bay, Central Coast, California, USA",fruit,0.14
"White Blend, Columbia Valley, Washington, USA",citrus,0.07
"Chardonnay, San Francisco Bay, Central Coast, California, USA",minerality,0.14
"Merlot, Hawkes Bay, New Zealand",plum,0.15
"Syrah, Napa Valley, North Coast, California, USA",blackberry,0.16
"Bordeaux-style Red Blend, Long Island, New York, USA",ripe,0.11
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",ripe,0.17
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",earth,0.06
"Sangiovese, Santa Barbara, Central Coast, California, USA",raspberry,0.12
"Chardonnay, San Luis Obispo, Central Coast, California, USA",ripe,0.12
"Syrah, Inland Valleys, California, USA",ripe,0.14
"Syrah, Cachapoal Valley, Central Valley, Chile",black_fruit,0.08
"Pinot Grigio, Columbia Valley, Washington, USA",pear,0.12
"Syrah, Alentejo, Portugal",ripe,0.20
"Gruner Veltliner, Niederosterreich, Austria",ripe,0.13
"Chardonnay, Inland Valleys, California, USA",ripe,0.09
"Malbec, Columbia Valley, Washington, USA",spice,0.08
"Pinot Grigio, Southern Oregon, Oregon, USA",ripe,0.11
"Tempranillo, Inland Valleys, California, USA",fruit,0.14
"Pinot Noir, Niederosterreich, Austria",ripe,0.14
"Cabernet Sauvignon, Finger Lakes, New York, USA",fruit,0.08
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",ripe,0.13
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",cassis,0.07
"Cabernet Sauvignon, Monterey, Central Coast, California, USA",fruit,0.14
"Pinot Noir, Monterey, Central Coast, California, USA",ripe,0.15
"Merlot, Paso Robles, Central Coast, California, USA",ripe,0.11
"Riesling, Rheinhessen, Germany",fruit,0.08
"Riesling, Rheingau, Germany",minerality,0.08
"Pinot Noir, Finger Lakes, New York, USA",ripe,0.09
"Pinot Noir, Santa Barbara, Central Coast, California, USA",ripe,0.12
"Merlot, Columbia Valley, Washington, USA",cherry,0.07
"Pinot Noir, Wairarapa, New Zealand",smoke,0.11
"Merlot, Maipo Valley, Central Valley, Chile",herb,0.09
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",fruit,0.07
"Cabernet Franc, Long Island, New York, USA",cherry,0.10
"Sangiovese, Napa Valley, North Coast, California, USA",ripe,0.20
"Sauvignon Blanc, Coastal Region, South Africa",tropical_fruit,0.12
"White Blend, Burgenland, Austria",botrytis,0.13
"Syrah, Paso Robles, Central Coast, California, USA",ripe,0.13
"Chardonnay, Breede River Valley",flower,0.14
"Syrah, Columbia Valley, Washington, USA",spice,0.08
"Syrah, Columbia Valley, Oregon, USA",smoke,0.11
"Syrah, Sierra Foothills, California, USA",ripe,0.12
"Chardonnay, Paso Robles, Central Coast, California, USA",ripe,0.12
"Syrah, Southern Oregon, Oregon, USA",spice,0.11
"Syrah, Maipo Valley, Central Valley, Chile",leather,0.08
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",ripe,0.21
"Chardonnay, Columbia Valley, Washington, USA",oak,0.11
"Chardonnay, Maipo Valley, Central Valley, Chile",oak,0.10
"Zinfandel, San Francisco Bay, Central Coast, California, USA",ripe,0.14
"Pinot Noir, Napa Valley, North Coast, California, USA",oak,0.12
"Tempranillo, Sierra Foothills, California, USA",jam,0.17
"Tempranillo, Columbia Valley, Washington, USA",fruit,0.11
"Tempranillo, Southern Oregon, Oregon, USA",spice,0.10
"Cabernet Sauvignon, Inland Valleys, California, USA",ripe,0.09
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",earth,0.13
"Syrah, Casablanca Valley, Aconcagua Region, Chile",herb,0.16
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",tropical_fruit,0.10
"Merlot, Sonoma Valley, North Coast, California, USA",ripe,0.12
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",apple,0.12
"Grenache, Santa Barbara, Central Coast, California, USA",ripe,0.06
"Zinfandel, Inland Valleys, California, USA",fruit,0.07
"Merlot, San Francisco Bay, Central Coast, California, USA",cherry,0.20
"Sauvignon Blanc, Monterey, Central Coast, California, USA",ripe,0.17
"Sauvignon Blanc, Finger Lakes, New York, USA",citrus,0.12
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",melon,0.12
"Syrah, Sonoma Valley, North Coast, California, USA",ripe,0.13
"Chardonnay, Long Island, New York, USA",toast,0.11
"Chardonnay, Sonoma Valley, North Coast, California, USA",ripe,0.13
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",ripe,0.18
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",herb,0.13
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",fruit,0.06
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",smoke,0.11
"Sauvignon Blanc, Cape South Coast, South Africa",minerality,0.14
"Syrah, San Luis Obispo, Central Coast, California, USA",blackberry,0.16
"Riesling, Niederosterreich, Austria",fruit,0.15
"Zinfandel, Paso Robles, Central Coast, California, USA",cherry,0.10
"Riesling, Santa Barbara, Central Coast, California, USA",apricot,0.13
"Zinfandel, Columbia Valley, Washington, USA",spice,0.13
"Zinfandel, Sierra Foothills, California, USA",fruit,0.11
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",oak,0.09
"Chardonnay, Willamette Valley, Oregon, USA",oak,0.14
"Chardonnay, Canterbury and Waipara, New Zealand",tropical_fruit,0.09
"Chardonnay, Central Otago, New Zealand",lactic,0.13
"Viognier, Inland Valleys, California, USA",fruit,0.14
"White Blend, Southern Greece, Greece",fruit,0.22
"Sauvignon Blanc, Hawkes Bay, New Zealand",ripe,0.15
"Merlot, Southern Oregon, Oregon, USA",cherry,0.21
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",ripe,0.15
"Syrah, Breede River Valley",game,0.09
"Pinot Noir, Marlborough, New Zealand",herb,0.09
"Grenache, Paso Robles, Central Coast, California, USA",ripe,0.12
"Pinot Noir, Sonoma Valley, North Coast, California, USA",ripe,0.14
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",fruit,0.18
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",fruit,0.11
"White Blend, Coastal Region, South Africa",pear,0.07
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",raspberry,0.15
"Zinfandel, Sonoma Valley, North Coast, California, USA",fruit,0.10
"Viognier, Paso Robles, Central Coast, California, USA",ripe,0.12
"Viognier, Columbia Valley, Washington, USA",oak,0.09
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",oak,0.07
"Viognier, Sierra Foothills, California, USA",apricot,0.11
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",ripe,0.13
"Viognier, Southern Oregon, Oregon, USA",fruit,0.13
"Merlot, Rapel Valley, Central Valley, Chile",berry,0.15
"Merlot, Napa-Sonoma, North Coast, California, USA",ripe,0.19
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",melon,0.13
"Pinot Noir, Willamette Valley, Oregon, USA",cherry,0.09
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",ripe,0.13
"Merlot, Long Island, New York, USA",oak,0.12
"Petite Sirah, Napa Valley, North Coast, California, USA",ripe,0.13
"Pinot Noir, San Benito, Central Coast, California, USA",cherry,0.24
"Syrah, Napa-Sonoma, North Coast, California, USA",cherry,0.16
"Sangiovese, Paso Robles, Central Coast, California, USA",spice,0.09
"Petite Sirah, Inland Valleys, California, USA",blackberry,0.12
"Chardonnay, Napa-Sonoma, North Coast, California, USA",oak,0.15
"Sangiovese, Columbia Valley, Washington, USA",oak,0.10
"Sangiovese, Sierra Foothills, California, USA",earth,0.11
"Merlot, Galilee, Israel",juicy,0.12
"Pinot Noir, San Antonio, Aconcagua Region, Chile",citrus,0.09
"Viognier, Sonoma Valley, North Coast, California, USA",ripe,0.12
"Cabernet Sauvignon, Columbia Valley, Washington, USA",cherry,0.07
"Sauvignon Blanc, Marlborough, New Zealand",ripe,0.10
"Cabernet Sauvignon, Sierra Foothills, California, USA",blackberry,0.16
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",oak,0.09
"Syrah, Galilee, Israel",kirsch,0.10
"Cabernet Sauvignon, Southern Oregon, Oregon, USA",fruit,0.13
"White Blend, Macedonia, Greece",lemon,0.10
"Chardonnay, Burgenland, Austria",lactic,0.10
"Pinot Noir, Paso Robles, Central Coast, California, USA",fruit,0.10
"Riesling, Monterey, Central Coast, California, USA",peach,0.16
"Pinot Noir, Southern Oregon, Oregon, USA",cherry,0.13
"Malbec, Colchagua Valley, Central Valley, Chile",grapey,0.08
"Riesling, Finger Lakes, New York, USA",apple,0.09
"Chardonnay, Galilee, Israel",apple,0.15
"Cabernet Franc, Napa Valley, North Coast, California, USA",ripe,0.11
"Petite Sirah, Paso Robles, Central Coast, California, USA",ripe,0.20
"Merlot, Curico Valley, Central Valley, Chile",herb,0.12
"Pinot Grigio, Monterey, Central Coast, California, USA",minerality,0.10
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",fruit,0.09
"Pinot Grigio, Finger Lakes, New York, USA",herb,0.08
"Pinot Noir, Nelson, New Zealand",fruit,0.11
"Pinot Grigio, Santa Barbara, Central Coast, California, USA",ripe,0.20
"Bordeaux-style Red Blend, Coastal Region, South Africa",plum,0.08
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",earth,0.10
"Sangiovese, Sonoma Valley, North Coast, California, USA",fruit,0.09
