TABLE_SET_NAME,TABLE1,SCHEMA1,TABLE2,SCHEMA2,JOIN_COUNT,JOIN_EXECUTIONS,STATIC_COEFFICIENT,DYNAMIC_COEFFICIENT,TOTAL_AFFINITY
Cerner,ORDER_CATALOG,V500,ORDER_PRODUCT,V500,1,8,0.00671,0.00336,0.00504
Cerner,ECO_QUEUE,V500,ORDER_CATALOG,V500,1,7,0.00704,0.00311,0.00508
Cerner,ORDER_CATALOG,V500,ECO_QUEUE,V500,1,7,0.00704,0.00311,0.00508
Cerner,PERSON,V500,TRACKING_PRV_RELN,V500,3,16,0.01,0.00025,0.00513
Cerner,ORDER_INGREDIENT,V500,DISCRETE_TASK_ASSAY,V500,1,9,0.00685,0.00346,0.00516
Cerner,PERSON,V500,RAD_RPT_LOCK,V500,3,25,0.01007,0.00039,0.00523
Cerner,PERSON,V500,ENCNTR_DOMAIN,V500,3,9,0.01031,0.00014,0.00523
Cerner,ORDER_CATALOG,V500,TEMPLATE_NONFORMULARY,V500,1,8,0.00704,0.00344,0.00524
Cerner,TEMPLATE_NONFORMULARY,V500,ORDER_CATALOG,V500,1,8,0.00704,0.00344,0.00524
Cerner,PRSNL,V500,BLOB_REFERENCE,V500,2,244,0.00692,0.00357,0.00525
Cerner,PERSON,V500,ORGANIZATION,V500,3,126,0.00862,0.00187,0.00525
Cerner,ORDER_DISPENSE,V500,ORDER_DETAIL,V500,1,3,0.0101,0.00065,0.00538
Cerner,PRSNL,V500,SCH_ENTRY,V500,3,23,0.01049,0.00034,0.00542
Cerner,IM_ACQUIRED_STUDY,V500,ORDER_RADIOLOGY,V500,1,4,0.00877,0.00216,0.00547
Cerner,SIGN_LINE_DTA_R,V500,ORDER_RADIOLOGY,V500,1,4,0.00893,0.00212,0.00553
Cerner,PRSNL,V500,ORGANIZATION,V500,3,91,0.0098,0.00128,0.00554
Cerner,MED_DEF_FLEX,V500,LONG_TEXT,V500,2,26,0.0083,0.00284,0.00557
Cerner,RAD_PROTOCOL_ACT,V500,ORDER_RADIOLOGY,V500,1,4,0.00909,0.00218,0.00564
Cerner,RAD_PROTOCOL_DEFINITION,V500,ORDER_RADIOLOGY,V500,1,4,0.00909,0.00218,0.00564
Cerner,PRSNL,V500,PPR_CONSENT_POLICY,V500,2,244,0.00794,0.00356,0.00575
Cerner,PRSNL,V500,PPR_CONSENT_STATUS,V500,2,244,0.008,0.00357,0.00579
Cerner,PRSNL,V500,HM_EXPECT_MOD_HIST,V500,1,524,0.00403,0.00768,0.00586
Cerner,HM_EXPECT_MOD_HIST,V500,PRSNL,V500,1,524,0.00403,0.00768,0.00586
Cerner,PRSNL,V500,HM_EXPECT_MOD,V500,1,524,0.00405,0.00768,0.00587
Cerner,HM_EXPECT_MOD,V500,PRSNL,V500,1,524,0.00405,0.00768,0.00587
Cerner,PRSNL_GROUP,V500,SHARED_LIST_GTTD,V500,1,3,0.01176,0.00032,0.00604
Cerner,PRSNL,V500,TRACKING_PRV_RELN,V500,3,36,0.01163,0.00053,0.00608
Cerner,PRSNL,V500,PRSNL_GROUP_RELTN,V500,3,35,0.01167,0.00049,0.00608
Cerner,PRSNL_GROUP_RELTN,V500,PRSNL,V500,3,35,0.01167,0.00049,0.00608
Cerner,PRSNL,V500,PAT_ED_RELTN,V500,3,29,0.01181,0.00042,0.00612
Cerner,ORDER_CATALOG,V500,RAD_PROCEDURE_ASSOC,V500,1,12,0.00714,0.00538,0.00626
Cerner,RAD_PROCEDURE_ASSOC,V500,ORDER_CATALOG,V500,1,12,0.00714,0.00538,0.00626
Cerner,PATHWAY,V500,SHARED_LIST_GTTD,V500,1,17,0.01042,0.00213,0.00628
Cerner,MED_IDENTIFIER,V500,ORDER_INGREDIENT,V500,1,8,0.00833,0.00458,0.00646
Cerner,ORDER_INGREDIENT,V500,MED_IDENTIFIER,V500,1,8,0.00833,0.00458,0.00646
Cerner,ORDER_INGREDIENT,V500,ORDER_PRODUCT_DOSE,V500,1,3,0.0101,0.00299,0.00655
Cerner,OUTCOME_ACTIVITY,V500,SHARED_LIST_GTTD,V500,1,17,0.01099,0.00227,0.00663
Cerner,PATHWAY,V500,ORDERS,V500,4,70,0.00871,0.00462,0.00667
Cerner,PRSNL,V500,SCH_EVENT,V500,4,29,0.01307,0.00042,0.00675
Cerner,PRSNL,V500,CHARGE_EVENT,V500,3,203,0.01099,0.00285,0.00692
Cerner,ORDER_DISPENSE,V500,ENCOUNTER,V500,5,53,0.01289,0.00106,0.00698
Cerner,PERSON,V500,ORDER_ACTION,V500,7,24,0.01367,0.00034,0.00701
Cerner,PERSON,V500,ALLERGY_COMMENT,V500,4,43,0.01347,0.00066,0.00707
Cerner,ALLERGY_COMMENT,V500,PERSON,V500,4,43,0.01347,0.00066,0.00707
Cerner,PERSON,V500,RAD_INIT_READ,V500,4,33,0.01379,0.00051,0.00715
Cerner,PRSNL,V500,TASK_ACTIVITY_ASSIGNMENT,V500,4,47,0.0137,0.00068,0.00719
Cerner,PRSNL,V500,LONG_TEXT,V500,3,535,0.00716,0.00725,0.00721
Cerner,PERSON,V500,ORDER_CATALOG,V500,6,15,0.01425,0.00022,0.00724
Cerner,ORDER_CATALOG,V500,PERSON,V500,6,15,0.01425,0.00022,0.00724
Cerner,PRSNL,V500,TRACKING_CHECKIN,V500,4,25,0.01413,0.00036,0.00725
Cerner,MED_DEF_FLEX,V500,SYNONYM_ITEM_R,V500,1,1,0.01449,0.00032,0.00741
Cerner,ORDER_REVIEW,V500,SHARED_LIST_GTTD,V500,1,20,0.0122,0.00265,0.00743
Cerner,PRSNL,V500,TRACK_REFERENCE,V500,4,44,0.01544,0.00064,0.00804
Cerner,PAT_ED_RELTN,V500,PRSNL,V500,4,30,0.01581,0.00044,0.00813
Cerner,PRSNL,V500,ALLERGY_COMMENT,V500,4,43,0.01569,0.00063,0.00816
Cerner,ALLERGY_COMMENT,V500,PRSNL,V500,4,43,0.01569,0.00063,0.00816
Cerner,PRSNL,V500,PROC_PRSNL_RELTN,V500,1,854,0.00402,0.01248,0.00825
Cerner,PROC_PRSNL_RELTN,V500,PRSNL,V500,1,854,0.00402,0.01248,0.00825
Cerner,RX_CURVE,V500,MED_DEF_FLEX,V500,1,6,0.01471,0.00194,0.00833
Cerner,MED_DEF_FLEX,V500,RX_CURVE,V500,1,6,0.01471,0.00194,0.00833
Cerner,PERSON,V500,ALLERGY,V500,5,94,0.01529,0.00142,0.00836
Cerner,ALLERGY,V500,PERSON,V500,5,94,0.01529,0.00142,0.00836
Cerner,PRSNL,V500,SCH_EVENT_ACTION,V500,5,28,0.01656,0.0004,0.00848
Cerner,ORDER_CATALOG,V500,ALT_SEL_CAT,V500,2,10,0.01351,0.00355,0.00853
Cerner,ORDER_INGREDIENT,V500,TEMPLATE_NONFORMULARY,V500,1,8,0.0098,0.00727,0.00854
Cerner,TEMPLATE_NONFORMULARY,V500,ORDER_INGREDIENT,V500,1,8,0.0098,0.00727,0.00854
Cerner,PERSON,V500,ORDER_DISPENSE,V500,5,53,0.01629,0.00081,0.00855
Cerner,ORDER_DISPENSE,V500,PERSON,V500,5,53,0.01629,0.00081,0.00855
Cerner,ORDER_CATALOG,V500,ALT_SEL_LIST,V500,2,10,0.01379,0.00355,0.00867
Cerner,ORDER_INGREDIENT,V500,ORDER_TASK_XREF,V500,1,9,0.00971,0.00771,0.00871
Cerner,ORDER_CATALOG,V500,ORDER_NOTIFICATION,V500,2,8,0.01429,0.00359,0.00894
Cerner,ORDER_NOTIFICATION,V500,ORDER_CATALOG,V500,2,8,0.01429,0.00359,0.00894
Cerner,MED_FLEX_OBJECT_IDX,V500,ROUTE_FORM_R,V500,1,1,0.01786,0.00039,0.00913
Cerner,ORDER_CATALOG,V500,PW_CAT_FLEX,V500,2,10,0.01399,0.00442,0.00921
Cerner,PERSON,V500,ENCNTR_PRSNL_RELTN,V500,6,82,0.01734,0.00116,0.00925
Cerner,MED_FLEX_OBJECT_IDX,V500,SYNONYM_ITEM_R,V500,1,1,0.01818,0.00039,0.00929
Cerner,MED_FLEX_OBJECT_IDX,V500,ITEM_DEFINITION,V500,1,1,0.01818,0.00039,0.00929
Cerner,PRSNL,V500,ALLERGY,V500,5,94,0.01754,0.00134,0.00944
Cerner,ALLERGY,V500,PRSNL,V500,5,94,0.01754,0.00134,0.00944
Cerner,PERSON,V500,PERSON_PRSNL_RELTN,V500,6,11,0.01875,0.00016,0.00946
Cerner,ORDER_REVIEW,V500,ORDER_ACTION,V500,2,65,0.00847,0.01067,0.00957
Cerner,PERSON,V500,PERSON_ORG_RELTN,V500,6,50,0.01852,0.00075,0.00964
Cerner,IM_STUDY,V500,ORDER_RADIOLOGY,V500,2,8,0.01563,0.00427,0.00995
Cerner,PRSNL,V500,TRACKING_PRSNL,V500,6,82,0.02299,0.0012,0.0121
Cerner,ORDER_CATALOG,V500,CODE_VALUE_EVENT_R,V500,1,50,0.00654,0.01945,0.013
Cerner,ACT_PW_COMP,V500,SHARED_LIST_GTTD,V500,2,34,0.02198,0.00462,0.0133
Cerner,ORDER_CATALOG,V500,OCS_FACILITY_R,V500,3,13,0.02174,0.00585,0.0138
Cerner,MED_FLEX_OBJECT_IDX,V500,PACKAGE_TYPE,V500,1,60,0.01176,0.01583,0.0138
Cerner,PERSON,V500,V500_EVENT_SET_CODE,V500,1,8,0.00327,0.00012,0.0017
Cerner,PRSNL,V500,ORDER_REVIEW,V500,1,45,0.00394,0.00065,0.0023
Cerner,ORDER_REVIEW,V500,PRSNL,V500,1,45,0.00394,0.00065,0.0023
Cerner,ORDER_NOTIFICATION,V500,ORDER_ACTION,V500,1,4,0.00429,0.00071,0.0025
Cerner,PRSNL,V500,PHONE,V500,2,24,0.00587,0.00032,0.0031
Cerner,PERSON,V500,RAD_FOL_UP_FIELD,V500,2,32,0.0069,0.0005,0.0037
Cerner,RAD_RES_INFO,V500,PRSNL,V500,2,16,0.00797,0.00023,0.0041
Cerner,ORDER_CATALOG,V500,PROCEDURE_SPECIMEN_TYPE,V500,1,8,0.0069,0.00309,0.005
Cerner,PROCEDURE_SPECIMEN_TYPE,V500,ORDER_CATALOG,V500,1,8,0.0069,0.00309,0.005
Cerner,PRSNL,V500,V500_EVENT_SET_EXPLODE,V500,3,36,0.01091,0.00049,0.0057
Cerner,PRSNL_GROUP_RELTN,V500,SHARED_LIST_GTTD,V500,1,3,0.01149,0.00031,0.0059
Cerner,FILL_PRINT_ORD_HX,V500,LONG_TEXT,V500,2,12,0.01124,0.00195,0.0066
Cerner,PRSNL,V500,RAD_REPORT_PRSNL,V500,4,24,0.01465,0.00035,0.0075
Cerner,PRSNL,V500,PRSNL_GROUP,V500,4,60,0.01575,0.00085,0.0083
Cerner,PRSNL_GROUP,V500,PRSNL,V500,4,60,0.01575,0.00085,0.0083
Cerner,ORDER_CATALOG,V500,PATHWAY_CATALOG,V500,2,10,0.01325,0.00355,0.0084
Cerner,ACT_PW_COMP,V500,ORDERS,V500,5,87,0.01101,0.00598,0.0085
Cerner,PRSNL,V500,DIAGNOSIS,V500,3,523,0.01124,0.00755,0.0094
Cerner,ORDER_CATALOG,V500,REGIMEN_CATALOG,V500,2,10,0.01449,0.0045,0.0095
Cerner,ORDER_CATALOG,V500,REGIMEN_CAT_SYNONYM,V500,2,10,0.01449,0.0045,0.0095
Cerner,RAD_PROTOCOL_ACT,V500,RAD_PROTOCOL_DEFINITION,V500,1,4,1,1,1
Cerner,RAD_PROTOCOL_DEFINITION,V500,RAD_PROTOCOL_ACT,V500,1,4,1,1,1
Cerner,MED_DEF_FLEX,V500,CODE_VALUE,V500,1,6,0.00178,0.00008,0.00093
Cerner,PAT_ED_RELTN,V500,CODE_VALUE,V500,1,8,0.00198,0.00012,0.00105
Cerner,RX_CURVE,V500,CODE_VALUE,V500,1,6,0.00202,0.00009,0.00106
Cerner,PERSON,V500,DM_INFO,V500,1,1,0.00226,0.00001,0.00114
Cerner,PERSON,V500,TASK_ACTIVITY,V500,1,8,0.00236,0.00012,0.00124
Cerner,MED_IDENTIFIER,V500,ORDERS,V500,1,8,0.00216,0.00053,0.00135
Cerner,PRSNL_GROUP,V500,ENCOUNTER,V500,1,4,0.00263,0.00008,0.00136
Cerner,ORDER_NOTIFICATION,V500,ENCOUNTER,V500,1,4,0.00268,0.00008,0.00138
Cerner,TEMPLATE_NONFORMULARY,V500,ORDERS,V500,1,8,0.00225,0.00056,0.00141
Cerner,PERSON,V500,SCH_EVENT_ACTION,V500,1,5,0.00287,0.00008,0.00148
Cerner,PRSNL,V500,ENCNTR_ALIAS,V500,1,4,0.00293,0.00005,0.00149
Cerner,PERSON,V500,TASK_ACTIVITY_ASSIGNMENT,V500,1,8,0.00297,0.00012,0.00155
Cerner,PERSON,V500,SCH_ENTRY,V500,1,5,0.00303,0.00008,0.00156
Cerner,PRSNL,V500,ORDER_DETAIL,V500,1,9,0.0031,0.00012,0.00161
Cerner,PERSON,V500,NOMENCLATURE,V500,1,51,0.00258,0.00071,0.00165
Cerner,PERSON,V500,IMAGE_CLASS,V500,1,8,0.00319,0.00012,0.00166
Cerner,PERSON,V500,IM_STUDY,V500,1,4,0.00325,0.00006,0.00166
Cerner,IM_STUDY,V500,PERSON,V500,1,4,0.00325,0.00006,0.00166
Cerner,PERSON,V500,IM_STUDY_PARENT_R,V500,1,4,0.00327,0.00006,0.00167
Cerner,IM_STUDY_PARENT_R,V500,PERSON,V500,1,4,0.00327,0.00006,0.00167
Cerner,PERSON,V500,TRACK_REFERENCE,V500,1,4,0.00329,0.00006,0.00168
Cerner,PERSON,V500,TRACKABLE_OBJECT,V500,1,8,0.00329,0.00012,0.00171
Cerner,PERSON,V500,DIAGNOSIS,V500,1,16,0.00322,0.00024,0.00173
Cerner,PERSON,V500,FOLDER,V500,1,8,0.00333,0.00012,0.00173
Cerner,PERSON,V500,ICLASS_ACC_ORDER_R,V500,1,8,0.00333,0.00012,0.00173
Cerner,PERSON,V500,SCH_EVENT_ALIAS,V500,1,5,0.00338,0.00008,0.00173
Cerner,PERSON,V500,HIM_EVENT_EXTENSION,V500,1,3,0.00342,0.00004,0.00173
Cerner,PERSON,V500,ORG_EVENT_SET_RELTN,V500,1,3,0.00344,0.00004,0.00174
Cerner,PERSON,V500,RAD_INT_CASE,V500,1,1,0.00346,0.00002,0.00174
Cerner,PERSON,V500,RAD_INT_CASE_R,V500,1,1,0.00346,0.00002,0.00174
Cerner,PERSON,V500,PPR_CONSENT_POLICY,V500,1,10,0.00339,0.00015,0.00177
Cerner,PERSON,V500,BORROWER_LENDER,V500,1,8,0.00342,0.00012,0.00177
Cerner,PERSON,V500,PPR_CONSENT_STATUS,V500,1,10,0.00341,0.00015,0.00178
Cerner,PRSNL,V500,TRACKING_LOCATOR,V500,1,1,0.00357,0.00001,0.00179
Cerner,PERSON,V500,RAD_LOAN_INFO,V500,1,8,0.00346,0.00012,0.00179
Cerner,PRSNL,V500,RAD_TECH_CMT_DATA,V500,1,4,0.00377,0.00006,0.00192
Cerner,RAD_TECH_CMT_DATA,V500,PRSNL,V500,1,4,0.00377,0.00006,0.00192
Cerner,PRSNL,V500,V500_EVENT_SET_CODE,V500,1,8,0.00379,0.00011,0.00195
Cerner,PERSON,V500,MAMMO_FOLLOW_UP,V500,1,28,0.00346,0.00043,0.00195
Cerner,PRSNL,V500,CE_EVENT_PRSNL,V500,1,8,0.0038,0.00012,0.00196
Cerner,PRSNL,V500,LONG_BLOB,V500,1,13,0.00375,0.00019,0.00197
Cerner,PRSNL,V500,SCD_STORY,V500,1,12,0.00376,0.00018,0.00197
Cerner,PRSNL,V500,SCH_LOCATION,V500,1,4,0.00389,0.00006,0.00198
Cerner,PRSNL,V500,TRACK_EVENT,V500,1,16,0.00375,0.00023,0.00199
Cerner,PRSNL,V500,SCH_EVENT_ALIAS,V500,1,5,0.00394,0.00007,0.00201
Cerner,PRSNL,V500,SCR_PATTERN,V500,1,3,0.00397,0.00004,0.00201
Cerner,PRSNL,V500,RAD_RES_INFO,V500,1,4,0.00397,0.00006,0.00202
Cerner,PERSON,V500,REACTION,V500,1,51,0.00324,0.00079,0.00202
Cerner,PRSNL,V500,TRACKING_PRSNL_REF,V500,1,2,0.00402,0.00003,0.00203
Cerner,PRSNL,V500,PM_WAIT_LIST_STATUS,V500,1,3,0.00402,0.00004,0.00203
Cerner,MRU_LOOKUP_ED_DOC,V500,PRSNL,V500,1,1,0.00405,0.00001,0.00203
Cerner,PM_WAIT_LIST_STATUS,V500,PRSNL,V500,1,3,0.00402,0.00004,0.00203
Cerner,PRSNL,V500,LOGICAL_DOMAIN,V500,1,12,0.00392,0.00015,0.00204
Cerner,PRSNL,V500,DCP_CARE_TEAM_PRSNL,V500,1,3,0.00403,0.00004,0.00204
Cerner,PRSNL,V500,DCP_SHIFT_ASSIGNMENT,V500,1,3,0.00403,0.00004,0.00204
Cerner,PRSNL,V500,DCP_FORMS_ACTIVITY,V500,1,16,0.00386,0.00023,0.00205
Cerner,PRSNL,V500,SCD_TERM_DATA,V500,1,12,0.00392,0.00018,0.00205
Cerner,PRSNL,V500,STICKY_NOTE,V500,1,8,0.00398,0.00012,0.00205
Cerner,PRSNL,V500,PROXY_GROUP,V500,1,4,0.00405,0.00006,0.00206
Cerner,PRSNL,V500,PROBLEM_COMMENT,V500,1,4,0.00405,0.00006,0.00206
Cerner,PRSNL,V500,RAD_PROTOCOL_ACT,V500,1,4,0.00405,0.00006,0.00206
Cerner,PRSNL,V500,TRACKING_EVENT_HISTORY,V500,1,4,0.00405,0.00006,0.00206
Cerner,PRSNL,V500,RAD_PROTOCOL_DEFINITION,V500,1,4,0.00405,0.00006,0.00206
Cerner,PROBLEM_COMMENT,V500,PRSNL,V500,1,4,0.00405,0.00006,0.00206
Cerner,RAD_PROTOCOL_ACT,V500,PRSNL,V500,1,4,0.00405,0.00006,0.00206
Cerner,TRACKING_EVENT_HISTORY,V500,PRSNL,V500,1,4,0.00405,0.00006,0.00206
Cerner,RAD_PROTOCOL_DEFINITION,V500,PRSNL,V500,1,4,0.00405,0.00006,0.00206
Cerner,PRSNL,V500,CE_MED_RESULT,V500,1,12,0.00398,0.00018,0.00208
Cerner,PERSON,V500,CLINICAL_EVENT,V500,2,11,0.00404,0.00011,0.00208
Cerner,CE_MED_RESULT,V500,PRSNL,V500,1,12,0.00398,0.00018,0.00208
Cerner,PRSNL,V500,SCH_LOCK,V500,1,15,0.00395,0.00022,0.00209
Cerner,SCH_LOCK,V500,PRSNL,V500,1,15,0.00395,0.00022,0.00209
Cerner,PRSNL,V500,DCP_FORMS_ACTIVITY_PRSNL,V500,1,16,0.00398,0.00023,0.00211
Cerner,PRSNL,V500,PAT_ED_DOC_ACTIVITY,V500,1,13,0.00402,0.00019,0.00211
Cerner,PERSON,V500,PERSON_PATIENT,V500,1,79,0.00311,0.0011,0.00211
Cerner,PAT_ED_DOC_ACTIVITY,V500,PRSNL,V500,1,13,0.00402,0.00019,0.00211
Cerner,PRSNL,V500,RES_SIGN_ACT_SUBTYPE,V500,1,12,0.00405,0.00018,0.00212
Cerner,PRSNL,V500,TRACKING_EVT_CMT,V500,1,16,0.00405,0.00023,0.00214
Cerner,PERSON,V500,RESOURCE_GROUP,V500,1,78,0.00318,0.00119,0.00219
Cerner,PRSNL,V500,REACTION,V500,1,51,0.00375,0.00074,0.00225
Cerner,PERSON,V500,PULL_ORD_SCHED,V500,1,78,0.00341,0.0012,0.00231
Cerner,PERSON,V500,PULL_LIST,V500,1,78,0.00342,0.00121,0.00232
Cerner,ORDER_THERAP_SBSTTN,V500,ORDER_ACTION,V500,1,2,0.00429,0.00035,0.00232
Cerner,ORDER_CATALOG,V500,ENCNTR_ALIAS,V500,1,3,0.00431,0.00036,0.00234
Cerner,ORDER_CATALOG,V500,CODE_VALUE,V500,1,224,0.00158,0.00316,0.00237
Cerner,ORDER_INGREDIENT,V500,LONG_TEXT,V500,1,9,0.00368,0.00127,0.00248
Cerner,ORDER_NOTIFICATION,V500,ORDERS,V500,2,8,0.00451,0.00056,0.00254
Cerner,PERSON,V500,PFT_ENCNTR,V500,1,144,0.00311,0.00206,0.00259
Cerner,PERSON,V500,ACCOUNT,V500,1,144,0.00331,0.00216,0.00274
Cerner,ECO_QUEUE,V500,ORDERS,V500,2,14,0.0045,0.00098,0.00274
Cerner,PERSON,V500,BILLING_ENTITY,V500,1,144,0.00331,0.00219,0.00275
Cerner,PERSON,V500,ACCT_TEMPLATE,V500,1,144,0.00342,0.00222,0.00282
Cerner,PERSON,V500,ORDER_DETAIL,V500,2,13,0.00549,0.00019,0.00284
Cerner,PRSNL,V500,COLLECTION_PRIORITY,V500,1,149,0.00392,0.00212,0.00302
Cerner,PERSON,V500,SCH_EVENT,V500,2,22,0.00571,0.00033,0.00302
Cerner,PRSNL,V500,ORDER_LABORATORY,V500,1,149,0.004,0.00213,0.00307
Cerner,PM_WAIT_LIST_STATUS,V500,LONG_TEXT,V500,1,3,0.00565,0.00049,0.00307
Cerner,PERSON,V500,SCH_APPT,V500,2,20,0.00585,0.0003,0.00308
Cerner,PRSNL,V500,TRACKING_ITEM,V500,2,5,0.00615,0.00007,0.00311
Cerner,PERSON,V500,ENCNTR_PERSON_RELTN,V500,2,13,0.00606,0.0002,0.00313
Cerner,CS_COMPONENT,V500,ORDER_CATALOG_SYNONYM,V500,1,4,0.00543,0.00094,0.00319
Cerner,PERSON,V500,SCH_EVENT_PATIENT,V500,2,18,0.00621,0.00027,0.00324
Cerner,PERSON,V500,TRACKING_PRSNL,V500,2,12,0.00651,0.00019,0.00335
Cerner,PERSON,V500,CE_EVENT_PRSNL,V500,2,11,0.00658,0.00017,0.00338
Cerner,PRSNL,V500,ORDER_RADIOLOGY,V500,2,84,0.00563,0.0012,0.00342
Cerner,PRSNL,V500,CLINICAL_EVENT,V500,3,21,0.00664,0.0002,0.00342
Cerner,PERSON,V500,EXAM_DATA,V500,2,5,0.00676,0.00008,0.00342
Cerner,ORDER_CATALOG,V500,RAD_REPORT,V500,1,4,0.00549,0.00143,0.00346
Cerner,PRSNL,V500,SCH_APPT,V500,2,21,0.00667,0.0003,0.00349
Cerner,PRSNL,V500,RAD_REPORT,V500,2,8,0.0069,0.00012,0.00351
Cerner,PERSON,V500,DCP_PL_CUSTOM_ENTRY,V500,2,6,0.00692,0.00009,0.00351
Cerner,PERSON,V500,PROC_CLASSIFICATION,V500,2,13,0.00685,0.0002,0.00353
Cerner,PERSON,V500,CE_EVENT_ACTION,V500,2,28,0.00664,0.00043,0.00354
Cerner,MED_IDENTIFIER,V500,ORDER_CATALOG_SYNONYM,V500,1,8,0.00543,0.00168,0.00356
Cerner,PERSON,V500,PRSNL_GROUP,V500,2,28,0.00671,0.00042,0.00357
Cerner,PRSNL_GROUP,V500,PERSON,V500,2,28,0.00671,0.00042,0.00357
Cerner,PRSNL,V500,PRSNL_ORG_RELTN,V500,2,9,0.00709,0.00012,0.00361
Cerner,PRSNL,V500,CONTAINER,V500,1,235,0.00386,0.00341,0.00364
Cerner,PERSON,V500,MAMMO_STUDY,V500,2,32,0.00683,0.0005,0.00367
Cerner,ORDER_COMMENT,V500,ORDERS,V500,2,49,0.00418,0.0033,0.00374
Cerner,PRSNL,V500,TRACKING_EVENT,V500,2,17,0.00727,0.00025,0.00376
Cerner,PRSNL,V500,PRIVILEGE,V500,2,16,0.00738,0.00023,0.00381
Cerner,PRSNL,V500,PRIV_LOC_RELTN,V500,2,16,0.00758,0.00023,0.00391
Cerner,PRIV_LOC_RELTN,V500,PRSNL,V500,2,16,0.00758,0.00023,0.00391
Cerner,CS_COMPONENT,V500,ORDER_CATALOG,V500,1,4,0.00625,0.00163,0.00394
Cerner,ORDER_CATALOG,V500,CS_COMPONENT,V500,1,4,0.00625,0.00163,0.00394
Cerner,PHARMACY_NOTES,V500,ORDERS,V500,2,49,0.00447,0.00341,0.00394
Cerner,ORDER_CATALOG,V500,RENEW_NOTIFICATION_PERIOD,V500,1,2,0.00704,0.00086,0.00395
Cerner,RENEW_NOTIFICATION_PERIOD,V500,ORDER_CATALOG,V500,1,2,0.00704,0.00086,0.00395
Cerner,PERSON,V500,CODE_VALUE_GROUP,V500,2,107,0.00631,0.00162,0.00397
Cerner,ORDER_THERAP_SBSTTN,V500,ORDERS,V500,2,49,0.00451,0.00343,0.00397
Cerner,TEMPLATE_NONFORMULARY,V500,ORDER_CATALOG_SYNONYM,V500,1,8,0.00602,0.00194,0.00398
Cerner,MED_DEF_FLEX,V500,ITEM_DEFINITION,V500,2,2,0.02941,0.00065,0.01503
Cerner,ITEM_DEFINITION,V500,MED_DEF_FLEX,V500,2,2,0.02941,0.00065,0.01503
Cerner,ACT_PW_COMP,V500,ORDER_CATALOG,V500,2,49,0.01299,0.01925,0.01612
Cerner,ORDER_CATALOG,V500,ACT_PW_COMP,V500,2,49,0.01299,0.01925,0.01612
Cerner,ORDER_DISPENSE,V500,ORDER_PRODUCT,V500,1,3,0.02941,0.00307,0.01624
Cerner,ORDER_CATALOG,V500,ORDER_ACTION,V500,8,89,0.02222,0.01148,0.01685
Cerner,MEDICATION_DEFINITION,V500,ORDER_CATALOG_ITEM_R,V500,1,1,0.03333,0.0007,0.01702
