TABLE_ID,TABLE_SET_NAME,SCHEMA,TABLE_NAME,TOTAL_SQL,TOTAL_EXECUTIONS,TABLES_JOINED
263,MedicalRecord,V500,IMAGE_CLASS,25,702,10
531,MedicalRecord,V500,IMAGE_CLASS_TYPE,14,520,11
562,MedicalRecord,V500,IM_STUDY,20,48,6
16,MedicalRecord,V500,IM_STUDY_PARENT_R,18,49,6
739,MedicalRecord,V500,ITEM_DEFINITION,2,2,8
549,MedicalRecord,V500,ITEM_LOCATION_COST,6,216,2
20,MedicalRecord,V500,LOCATION,55,4602,34
678,MedicalRecord,V500,LOCATION_GROUP,41,4031,7
807,MedicalRecord,V500,LOGICAL_DOMAIN,9,14353,3
129,MedicalRecord,V500,LONG_BLOB,21,1375,21
787,MedicalRecord,V500,LONG_TEXT,175,6099,60
744,MedicalRecord,V500,MAMMO_FOLLOW_UP,1,28,9
590,MedicalRecord,V500,MAMMO_STUDY,6,51,9
313,MedicalRecord,V500,MANUFACTURER_ITEM,9,564,8
166,MedicalRecord,V500,MATCH_TAG_PARMS,9,866,3
941,MedicalRecord,V500,MEDIA_EXAM,2,252,3
687,MedicalRecord,V500,MEDICATION_DEFINITION,22,770,17
731,MedicalRecord,V500,MED_COST_HX,5,245,7
504,MedicalRecord,V500,MED_DEF_FLEX,68,3087,22
675,MedicalRecord,V500,MED_DISPENSE,16,719,15
497,MedicalRecord,V500,MED_FLEX_OBJECT_IDX,54,2552,21
171,MedicalRecord,V500,MED_IDENTIFIER,23,753,18
804,MedicalRecord,V500,MED_INGRED_SET,5,473,8
823,MedicalRecord,V500,MED_OE_DEFAULTS,19,1074,10
187,MedicalRecord,V500,MED_PACKAGE_TYPE,8,419,4
299,MedicalRecord,V500,MED_PRODUCT,14,739,10
911,MedicalRecord,V500,MLTM_NDC_MAIN_DRUG_CODE,3,21,4
72,MedicalRecord,V500,MRU_LOOKUP_ED_DOC,1,1,3
516,MedicalRecord,V500,NETTING,19,1307,5
542,MedicalRecord,V500,NOMENCLATURE,99,7138,35
302,MedicalRecord,V500,NURSE_UNIT,4,309,4
205,MedicalRecord,V500,OCS_FACILITY_R,3,13,11
183,MedicalRecord,V500,OE_FORMAT_FIELDS,18,285,6
267,MedicalRecord,V500,ORDERS,441,14262,78
660,MedicalRecord,V500,ORDER_ACTION,230,5616,34
543,MedicalRecord,V500,ORDER_CATALOG,138,2224,46
27,MedicalRecord,V500,ORDER_CATALOG_ITEM_R,9,657,13
266,MedicalRecord,V500,ORDER_CATALOG_SYNONYM,162,4017,68
481,MedicalRecord,V500,ORDER_COMMENT,40,625,12
160,MedicalRecord,V500,ORDER_CONTAINER_R,11,369,12
285,MedicalRecord,V500,ORDER_DETAIL,77,3807,34
520,MedicalRecord,V500,ORDER_DISPENSE,23,814,20
551,MedicalRecord,V500,ORDER_ENTRY_FIELDS,30,605,6
363,MedicalRecord,V500,ORDER_INGREDIENT,98,1001,26
748,MedicalRecord,V500,ORDER_INGREDIENT_DOSE,6,33,12
686,MedicalRecord,V500,ORDER_IV_INFO,42,254,6
702,MedicalRecord,V500,ORDER_LABORATORY,4,1748,8
732,MedicalRecord,V500,ORDER_NOTIFICATION,4,15,5
375,MedicalRecord,V500,ORDER_PRODUCT,12,166,14
428,MedicalRecord,V500,ORDER_PRODUCT_DOSE,2,4,9
662,MedicalRecord,V500,ORDER_RADIOLOGY,110,1834,51
196,MedicalRecord,V500,ORDER_REVIEW,8,542,4
726,MedicalRecord,V500,ORDER_SENTENCE,7,153,15
684,MedicalRecord,V500,ORDER_SUPPLY_REVIEW,4,11,3
33,MedicalRecord,V500,ORDER_TASK,18,967,19
221,MedicalRecord,V500,ORDER_TASK_RESPONSE,2,18,5
479,MedicalRecord,V500,ORDER_TASK_XREF,6,176,7
417,MedicalRecord,V500,ORDER_THERAP_SBSTTN,4,70,11
498,MedicalRecord,V500,ORD_RQSTN_ORD_R,16,149,4
135,MedicalRecord,V500,ORGANIZATION,62,2940,30
505,MedicalRecord,V500,ORG_ALIAS_POOL_RELTN,21,1943,15
191,MedicalRecord,V500,ORG_BARCODE_FORMAT,3,155,5
240,MedicalRecord,V500,ORG_BARCODE_ORG,2,6,4
189,MedicalRecord,V500,ORG_ORG_RELTN,3,162,2
571,MedicalRecord,V500,ORG_TYPE_RELTN,10,612,7
301,MedicalRecord,V500,OUTBOUND_FIELD_PROCESSING,16,44,2
560,MedicalRecord,V500,OUTPUT_DEST,21,1597,17
162,MedicalRecord,V500,PACKAGE_TYPE,32,1298,11
404,MedicalRecord,V500,PATHWAY,22,973,15
366,MedicalRecord,V500,PATHWAY_CATALOG,15,604,15
883,MedicalRecord,V500,PAT_ED_DOC_ACTIVITY,3,22,5
93,MedicalRecord,V500,PAT_ED_FAVORITES,2,16,4
77,MedicalRecord,V500,PAT_ED_RELTN,10,78,8
157,MedicalRecord,V500,PAT_ED_SHORTCUT,3,35,4
35,MedicalRecord,V500,PCS_DEMOGRAPHIC_FIELD,6,336,3
218,MedicalRecord,V500,PCT_CARE_TEAM,2,107,4
499,MedicalRecord,V500,PENDING_COLLECTION,14,1427,9
1,MedicalRecord,V500,PERSON,289,64515,84
545,MedicalRecord,V500,PERSON_ALIAS,95,25967,15
392,MedicalRecord,V500,PERSON_CODE_VALUE_R,27,11742,2
260,MedicalRecord,V500,PERSON_COMBINE,4,45911,5
108,MedicalRecord,V500,PERSON_COMBINE_DET,2,479,6
817,MedicalRecord,V500,PERSON_INFO,8,69,4
671,MedicalRecord,V500,PERSON_NAME,157,7598,12
317,MedicalRecord,V500,PERSON_PERSON_RELTN,17,404,10
521,MedicalRecord,V500,PERSON_PRSNL_ACTIVITY,5,301,13
681,MedicalRecord,V500,PERSON_PRSNL_RELTN,37,3906,10
347,MedicalRecord,V500,PE_STATUS_REASON,2,509,3
265,MedicalRecord,V500,PFT_ENCNTR,34,5388,23
69,MedicalRecord,V500,PHARMACY_NOTES,8,173,11
131,MedicalRecord,V500,PHONE,96,5777,16
694,MedicalRecord,V500,PM_TRANSACTION,29,1697,17
597,MedicalRecord,V500,PM_WAIT_LIST_STATUS,3,14,4
426,MedicalRecord,V500,PPR_CONSENT_POLICY,7,513,8
570,MedicalRecord,V500,PPR_CONSENT_STATUS,5,263,7
848,MedicalRecord,V500,PREDEFINED_PREFS,4,88,2
280,MedicalRecord,V500,PRICE_SCHED,18,688,5
812,MedicalRecord,V500,PRINTER,6,168,5
502,MedicalRecord,V500,PRIVILEGE,26,193,4
544,MedicalRecord,V500,PRIV_LOC_RELTN,19,394,4
792,MedicalRecord,V500,PROBLEM,10,1237,5
81,MedicalRecord,V500,PROBLEM_COMMENT,1,4,2
666,MedicalRecord,V500,PROBLEM_PRSNL_R,3,587,4
51,MedicalRecord,V500,PROCEDURE_SPECIMEN_TYPE,8,370,3
698,MedicalRecord,V500,PROC_CLASSIFICATION,5,29,11
444,MedicalRecord,V500,PROC_PRSNL_RELTN,3,1009,2
593,MedicalRecord,V500,PROXY_GROUP,1,4,3
905,MedicalRecord,V500,PRSNL,247,68254,99
506,MedicalRecord,V500,PRSNL_ALIAS,52,2345,9
705,MedicalRecord,V500,PRSNL_GROUP,11,2278,11
28,MedicalRecord,V500,PRSNL_GROUP_RELTN,13,2623,8
22,MedicalRecord,V500,PRSNL_ORG_RELTN,37,5730,10
339,MedicalRecord,V500,PRSNL_RELTN,3,36,3
917,MedicalRecord,V500,PRSNL_RELTN_ACTIVITY,8,186,4
885,MedicalRecord,V500,PSN_PPR_RELTN,1,23,2
164,MedicalRecord,V500,PW_CAT_FLEX,7,49,12
606,MedicalRecord,V500,PW_CAT_SYNONYM,6,29,12
575,MedicalRecord,V500,QUANTITY_ON_HAND,2,140,2
15,MedicalRecord,V500,RAD_EXAM,40,521,30
439,MedicalRecord,V500,RAD_FILM_ADJUST,3,16,3
880,MedicalRecord,V500,RAD_FOLLOW_UP_CONTROL,2,15,2
759,MedicalRecord,V500,RAD_FOLLOW_UP_RECALL,1,1,2
400,MedicalRecord,V500,RAD_FOL_UP_FIELD,3,48,9
175,MedicalRecord,V500,RAD_INIT_READ,5,37,11
965,MedicalRecord,V500,RAD_INT_CASE,1,1,5
394,MedicalRecord,V500,RAD_INT_CASE_R,1,1,5
758,MedicalRecord,V500,RAD_PRIOR_PREFS,1,4,2
729,MedicalRecord,V500,RAD_PROCEDURE_ASSOC,3,19,4
344,MedicalRecord,V500,RAD_PROCEDURE_GROUP,1,4,2
455,MedicalRecord,V500,RAD_PROTOCOL_ACT,1,4,4
173,MedicalRecord,V500,RAD_PROTOCOL_DEFINITION,1,4,4
483,MedicalRecord,V500,RAD_REPORT,45,584,24
49,MedicalRecord,V500,RAD_REPORT_DETAIL,8,33,7
696,MedicalRecord,V500,RAD_REPORT_PRSNL,30,155,13
842,MedicalRecord,V500,RAD_RES_INFO,6,37,6
207,MedicalRecord,V500,RAD_RPT_LOCK,12,89,14
151,MedicalRecord,V500,RAD_TECH_CMT_DATA,19,33,3
176,MedicalRecord,V500,REACTION,21,335,5
839,MedicalRecord,V500,REGIMEN_CATALOG,2,10,11
921,MedicalRecord,V500,REGIMEN_CAT_SYNONYM,2,10,11
62,MedicalRecord,V500,RENEW_NOTIFICATION_PERIOD,5,96,2
328,MedicalRecord,V500,RES_SIGN_ACT_SUBTYPE,1,12,5
832,MedicalRecord,V500,ROUTE_FORM_R,3,5,9
865,MedicalRecord,V500,RX_CURVE,1,6,4
24,MedicalRecord,V500,SCD_STORY,20,95,8
730,MedicalRecord,V500,SCD_TERM_DATA,9,72,8
278,MedicalRecord,V500,SCH_APPT,55,1759,20
53,MedicalRecord,V500,SCH_APPT_OPTION,22,522,10
640,MedicalRecord,V500,SCH_APPT_ORD,1,1,3
522,MedicalRecord,V500,SCH_ENTRY,42,133,8
488,MedicalRecord,V500,SCH_EVENT,63,1409,22
6,MedicalRecord,V500,SCH_EVENT_ACTION,60,1693,32
603,MedicalRecord,V500,SCH_EVENT_ALIAS,8,194,10
7,MedicalRecord,V500,SCH_EVENT_ATTACH,36,787,11
552,MedicalRecord,V500,SCH_EVENT_PATIENT,35,1305,18
25,MedicalRecord,V500,SCH_LOCATION,11,163,12
419,MedicalRecord,V500,SCH_LOCK,7,103,2
490,MedicalRecord,V500,SCH_SIMPLE_ASSOC,8,322,3
946,MedicalRecord,V500,SCR_PATTERN,6,35,5
913,MedicalRecord,V500,SERVICE_DIRECTORY,12,220,3
485,MedicalRecord,V500,SHARED_LIST_GTTD,75,7024,47
626,MedicalRecord,V500,SHARED_VALUE_GTTD,11,40,3
601,MedicalRecord,V500,SIGN_LINE_DTA_R,3,55,6
423,MedicalRecord,V500,SIGN_LINE_FORMAT,3,32,3
472,MedicalRecord,V500,SIGN_LINE_FORMAT_DETAIL,3,32,3
18,MedicalRecord,V500,STICKY_NOTE,5,866,6
634,MedicalRecord,V500,SYNONYM_ITEM_R,2,4,8
14,MedicalRecord,V500,TASK_ACTIVITY,135,1709,23
373,MedicalRecord,V500,TASK_ACTIVITY_ASSIGNMENT,49,698,13
614,MedicalRecord,V500,TASK_DISCRETE_R,6,57,6
596,MedicalRecord,V500,TASK_RELTN,2,12,3
32,MedicalRecord,V500,TEMPLATE_NONFORMULARY,5,108,7
583,MedicalRecord,V500,TRACKABLE_OBJECT,16,258,12
553,MedicalRecord,V500,TRACKING_CHECKIN,40,582,20
803,MedicalRecord,V500,TRACKING_EVENT,30,273,16
559,MedicalRecord,V500,TRACKING_EVENT_HISTORY,1,4,2
323,MedicalRecord,V500,TRACKING_EVENT_ORD,3,140,4
741,MedicalRecord,V500,TRACKING_EVT_CMT,1,16,4
378,MedicalRecord,V500,TRACKING_ITEM,80,5539,24
279,MedicalRecord,V500,TRACKING_LOCATOR,34,222,17
815,MedicalRecord,V500,TRACKING_PRSNL,20,202,11
197,MedicalRecord,V500,TRACKING_PRSNL_REF,3,18,4
268,MedicalRecord,V500,TRACKING_PRV_RELN,14,132,10
689,MedicalRecord,V500,TRACK_EVENT,21,315,6
512,MedicalRecord,V500,TRACK_GROUP,10,250,7
808,MedicalRecord,V500,TRACK_REFERENCE,16,162,11
852,MedicalRecord,V500,UCMR_CASE_TYPE,1,8,3
448,MedicalRecord,V500,UCM_CASE,6,167,7
738,MedicalRecord,V500,UCM_CASE_STEP,2,88,6
153,MedicalRecord,V500,V500_EVENT_SET_CODE,18,1550,19
262,MedicalRecord,V500,V500_EVENT_SET_EXPLODE,31,5965,14
495,MedicalRecord,V500,WARNING_LABEL,8,447,5
84,MedicalRecord,V500,WARNING_LABEL_XREF,4,219,3
255,MedicalRecord,V500,WORKING_VIEW_FREQ_INTERVAL,1,64,2
