TABLE_SET_NAME,TABLE1,TABLE2,JOIN_COUNT,JOIN_EXECUTIONS,STATIC_COEFFICIENT,DYNAMIC_COEFFICIENT,TOTAL_AFFINITY,TOTAL_AFFINITY_MODIFIED,TABLE_MAP_ID
MedicalRecord,ORDER_CATALOG_ITEM_R,MED_DEF_FLEX,1,248,0.01316,0.07094,0.04205,0.01,87
MedicalRecord,ORDER_CATALOG_ITEM_R,MED_DISPENSE,1,248,0.04167,0.21986,0.13077,0.01,88
MedicalRecord,ORDER_CATALOG_ITEM_R,MED_FLEX_OBJECT_IDX,1,248,0.01613,0.08376,0.04995,0.01,89
MedicalRecord,ORDER_CATALOG_ITEM_R,MED_INGRED_SET,1,248,0.07692,0.28118,0.17905,0.01,90
MedicalRecord,ORDER_CATALOG_ITEM_R,MED_OE_DEFAULTS,1,248,0.03704,0.16723,0.10214,0.01,91
MedicalRecord,ORDER_CATALOG_ITEM_R,ORDER_CATALOG,6,264,0.04255,0.10088,0.07172,0.01,92
MedicalRecord,ORDER_CATALOG_ITEM_R,ORDER_CATALOG_SYNONYM,7,512,0.04268,0.12302,0.08285,0.01,93
MedicalRecord,PRSNL_GROUP_RELTN,CODE_VALUE,3,1441,0.00594,0.02056,0.01325,0.01,94
MedicalRecord,PRSNL_GROUP_RELTN,PRSNL,3,35,0.01167,0.00049,0.00608,0.01,95
MedicalRecord,PRSNL_GROUP_RELTN,PRSNL_GROUP,8,2241,0.5,0.84248,0.67124,0.01,96
MedicalRecord,PRSNL_GROUP_RELTN,RES_SIGN_ACT_SUBTYPE,1,12,0.07692,0.00457,0.04075,0.01,97
MedicalRecord,PRSNL_GROUP_RELTN,SHARED_LIST_GTTD,1,3,0.01149,0.00031,0.0059,0.01,98
MedicalRecord,CE_MED_RESULT,CE_EVENT_ORDER_LINK,1,12,0.06667,0.03571,0.05119,0.01,99
MedicalRecord,CE_MED_RESULT,CLINICAL_EVENT,3,250,0.01429,0.00714,0.01072,0.01,100
MedicalRecord,CE_MED_RESULT,PRSNL,1,12,0.00398,0.00018,0.00208,0.01,101
MedicalRecord,V500_SPECIMEN,COLLECTION_CLASS,1,235,0.125,0.60724,0.36612,0.01,102
MedicalRecord,V500_SPECIMEN,CONTAINER,7,367,0.53846,0.44866,0.49356,0.01,103
MedicalRecord,V500_SPECIMEN,CONTAINER_ACCESSION,6,339,0.66667,0.82482,0.74575,0.01,104
MedicalRecord,V500_SPECIMEN,LONG_TEXT,1,235,0.00552,0.03771,0.02162,0.01,105
MedicalRecord,V500_SPECIMEN,ORDER_CONTAINER_R,6,132,0.5,0.21854,0.35927,0.01,106
MedicalRecord,V500_SPECIMEN,ORDER_SERV_RES_CONTAINER,5,104,0.38462,0.1643,0.27446,0.01,107
MedicalRecord,TEMPLATE_NONFORMULARY,MED_IDENTIFIER,1,8,0.03704,0.00938,0.02321,0.01,108
MedicalRecord,TEMPLATE_NONFORMULARY,ORDERS,1,8,0.00225,0.00056,0.00141,0.01,109
MedicalRecord,TEMPLATE_NONFORMULARY,ORDER_CATALOG,1,8,0.00704,0.00344,0.00524,0.01,110
MedicalRecord,TEMPLATE_NONFORMULARY,ORDER_CATALOG_SYNONYM,1,8,0.00602,0.00194,0.00398,0.01,111
MedicalRecord,TEMPLATE_NONFORMULARY,ORDER_INGREDIENT,1,8,0.0098,0.00727,0.00854,0.01,112
MedicalRecord,TEMPLATE_NONFORMULARY,ORDER_PRODUCT,1,8,0.0625,0.03008,0.04629,0.01,113
MedicalRecord,ORDER_TASK,ALT_SEL_CAT,1,205,0.03448,0.15062,0.09255,0.01,114
MedicalRecord,ORDER_TASK,ALT_SEL_LIST,1,205,0.03846,0.15018,0.09432,0.01,115
MedicalRecord,ORDER_TASK,CODE_VALUE,1,98,0.00195,0.0014,0.00168,0.01,116
MedicalRecord,ORDER_TASK,DCP_FORMS_ACTIVITY,3,423,0.10714,0.39203,0.24959,0.01,117
MedicalRecord,ORDER_TASK,DCP_FORMS_ACTIVITY_PRSNL,2,419,0.09524,0.42281,0.25903,0.01,118
MedicalRecord,ORDER_TASK,DCP_FORMS_DEF,1,12,0.05,0.01121,0.03061,0.01,119
MedicalRecord,ORDER_TASK,DCP_FORMS_REF,2,419,0.08,0.07521,0.07761,0.01,120
MedicalRecord,ORDER_TASK,ORDERS,2,18,0.00438,0.00118,0.00278,0.01,121
MedicalRecord,ORDER_TASK,ORDER_DETAIL,1,9,0.01064,0.00189,0.00627,0.01,122
MedicalRecord,ORDER_TASK,ORDER_TASK_RESPONSE,2,18,0.11111,0.01861,0.06486,0.01,123
MedicalRecord,ORDER_TASK,ORDER_TASK_XREF,2,137,0.09091,0.13618,0.11355,0.01,124
MedicalRecord,ORDER_TASK,OUTCOME_CATALOG,2,15,0.09524,0.01394,0.05459,0.01,125
MedicalRecord,ORDER_TASK,OUTCOME_CAT_CRITERIA,2,15,0.11111,0.01551,0.06331,0.01,126
MedicalRecord,ORDER_TASK,TASK_ACTIVITY,6,476,0.04082,0.21636,0.12859,0.01,127
MedicalRecord,ORDER_TASK,TASK_ACTIVITY_ASSIGNMENT,1,36,0.01515,0.0221,0.01863,0.01,128
MedicalRecord,ORDER_TASK,NAME_VALUE_PREFS,1,12,0.01667,0.00043,0.00855,0.01,129
MedicalRecord,PCS_DEMOGRAPHIC_FIELD,CODE_VALUE,2,248,0.00401,0.0036,0.00381,0.01,130
MedicalRecord,PCS_DEMOGRAPHIC_FIELD,CODE_VALUE_GROUP,1,21,0.02857,0.00979,0.01918,0.01,131
MedicalRecord,DCP_FORMS_ACTIVITY_COMP,CODE_VALUE,1,6,0.00197,0.00009,0.00103,0.01,132
MedicalRecord,DCP_FORMS_ACTIVITY_COMP,LONG_BLOB,1,6,0.02941,0.00275,0.01608,0.01,133
MedicalRecord,DCP_FORMS_ACTIVITY_COMP,NOMENCLATURE,1,6,0.00893,0.00076,0.00485,0.01,134
MedicalRecord,SCH_ORDER_APPT,SCH_APPT_TYPE,2,28,0.2,0.15054,0.17527,0.01,135
MedicalRecord,TPL_APPL_TASK_RELTN,LONG_TEXT,1,4,0.00571,0.00066,0.00319,0.01,136
MedicalRecord,TPL_APPL_TASK_RELTN,TPL_APPL,1,4,1,1,1,0.01,137
MedicalRecord,TPL_APPL_TASK_RELTN,TPL_SOLU,1,4,1,1,1,0.01,138
MedicalRecord,BILL_ITEM,BILL_ITEM_MODIFIER,7,549,0.36842,0.23911,0.30377,0.01,139
MedicalRecord,BILL_ITEM,CHARGE,1,396,0.025,0.14543,0.08522,0.01,140
MedicalRecord,BILL_ITEM,CODE_VALUE,2,60,0.00392,0.00085,0.00239,0.01,141
MedicalRecord,BILL_ITEM,DISCRETE_TASK_ASSAY,1,12,0.01538,0.00335,0.00937,0.01,142
MedicalRecord,BILL_ITEM,NOMENCLATURE,3,456,0.02655,0.05261,0.03958,0.01,143
MedicalRecord,BILL_ITEM,CHARGE_MOD,1,396,0.04167,0.17822,0.10995,0.01,144
MedicalRecord,MIC_MEDIA,MIC_MEDIA_DEFAULT,2,3888,1,1,1,0.01,145
MedicalRecord,ENCNTR_COMBINE,ENCOUNTER,2,11304,0.00538,0.22673,0.11606,0.01,146
MedicalRecord,ENCNTR_COMBINE,PENDING_COLLECTION,1,478,0.05882,0.03743,0.04813,0.01,147
MedicalRecord,ENCNTR_COMBINE,ENCNTR_COMBINE_DET,2,517,0.5,0.04374,0.27187,0.01,148
MedicalRecord,ALPHA_RESPONSES_CATEGORY,ALPHA_RESPONSES,1,118,0.33333,0.44697,0.39015,0.01,149
MedicalRecord,ALPHA_RESPONSES_CATEGORY,NOMENCLATURE,1,118,0.0101,0.01653,0.01332,0.01,150
MedicalRecord,SCH_EVENT_LINK,SCH_EVENT,2,30,0.0303,0.0202,0.02525,0.01,151
MedicalRecord,RAD_REPORT_DETAIL,DISCRETE_TASK_ASSAY,5,21,0.09615,0.01294,0.05455,0.01,152
MedicalRecord,RAD_REPORT_DETAIL,ORDER_RADIOLOGY,1,4,0.00855,0.00215,0.00535,0.01,153
MedicalRecord,RAD_REPORT_DETAIL,RAD_REPORT,1,4,0.01923,0.00653,0.01288,0.01,154
MedicalRecord,RAD_REPORT_DETAIL,RAD_REPORT_PRSNL,1,4,0.02703,0.02174,0.02439,0.01,155
MedicalRecord,MLTM_DRUG_NAME,MLTM_DRUG_ID,1,6,0.5,0.5,0.5,0.01,156
MedicalRecord,MLTM_DRUG_NAME,MLTM_DRUG_NAME_MAP,1,6,0.5,0.5,0.5,0.01,157
MedicalRecord,PROCEDURE_SPECIMEN_TYPE,ACCESSION_CLASS,3,235,0.375,0.63514,0.50507,0.01,158
MedicalRecord,PROCEDURE_SPECIMEN_TYPE,ORDER_CATALOG,1,8,0.0069,0.00309,0.005,0.01,159
MedicalRecord,SCH_APPT_OPTION,ENCOUNTER,6,192,0.01554,0.00387,0.00971,0.01,160
MedicalRecord,SCH_APPT_OPTION,ORDER_CATALOG_SYNONYM,2,3,0.01099,0.00066,0.00583,0.01,161
MedicalRecord,SCH_APPT_OPTION,PM_WAIT_LIST,10,351,0.25,0.45,0.35,0.01,162
MedicalRecord,SCH_APPT_OPTION,PM_WAIT_LIST_HIST,5,176,0.21739,0.33333,0.27536,0.01,163
MedicalRecord,SCH_APPT_OPTION,SCH_APPT,11,368,0.16667,0.19237,0.17952,0.01,164
MedicalRecord,SCH_APPT_OPTION,SCH_EVENT,15,385,0.21429,0.24903,0.23166,0.01,165
MedicalRecord,SCH_APPT_OPTION,SCH_EVENT_ACTION,10,351,0.13889,0.1883,0.1636,0.01,166
MedicalRecord,SCH_APPT_OPTION,SCH_EVENT_ATTACH,2,3,0.03571,0.0023,0.01901,0.01,167
MedicalRecord,SCH_APPT_OPTION,SCH_EVENT_PATIENT,12,354,0.26667,0.24033,0.2535,0.01,168
MedicalRecord,ALPHA_RESPONSES,ALPHA_RESPONSES_CATEGORY,1,118,0.33333,0.44697,0.39015,0.01,169
MedicalRecord,ALPHA_RESPONSES,NOMENCLATURE,2,236,0.02,0.03293,0.02647,0.01,170
MedicalRecord,TRACK_PREFS,LONG_TEXT_REFERENCE,1,26,0.04,0.01134,0.02567,0.01,171
MedicalRecord,TRACK_PREFS,TRACK_COMP_PREFS,2,27,0.28571,0.38028,0.333,0.01,172
MedicalRecord,RENEW_NOTIFICATION_PERIOD,ORDER_CATALOG,1,2,0.00704,0.00086,0.00395,0.01,173
MedicalRecord,OUTCOME_CRITERIA,OUTCOME_ACTIVITY,2,399,0.07143,0.82438,0.44791,0.01,174
MedicalRecord,TPL_APPL_DETAIL,LONG_TEXT,1,4,0.00571,0.00066,0.00319,0.01,175
MedicalRecord,TPL_APPL_DETAIL,TPL_APPL,1,4,1,1,1,0.01,176
MedicalRecord,TPL_APPL_DETAIL,TPL_APPL_TASK_RELTN,1,4,1,1,1,0.01,177
MedicalRecord,TPL_APPL_DETAIL,TPL_SOLU,1,4,1,1,1,0.01,178
MedicalRecord,FT_PRSNL_DEMOG,EMAIL_INFO,1,84,0.5,0.97674,0.73837,0.01,179
MedicalRecord,FT_PRSNL_DEMOG,FT_PRSNL_CONTACT,1,84,1,1,1,0.01,180
MedicalRecord,FT_PRSNL_DEMOG,MESSAGING_FAVORITES,1,84,0.06667,0.35745,0.21206,0.01,181
MedicalRecord,CONCEPT_CKI_ENTITY_R,NOMENCLATURE,1,3,0.0101,0.00042,0.00526,0.01,182
MedicalRecord,SCR_TERM,SCD_TERM,1,24,0.16667,0.4,0.28334,0.01,183
MedicalRecord,SCR_TERM,SCR_TERM_DEFINITION,1,24,1,1,1,0.01,184
MedicalRecord,SCR_TERM,SCR_TERM_TEXT,1,24,1,1,1,0.01,185
MedicalRecord,FILL_PRINT_ORD_HX,FILL_PRINT_HX,2,12,0.25,0.1,0.175,0.01,186
MedicalRecord,FILL_PRINT_ORD_HX,LONG_TEXT,2,12,0.01124,0.00195,0.0066,0.01,187
MedicalRecord,FILL_PRINT_ORD_HX,MED_PRODUCT,1,21,0.05556,0.02689,0.04123,0.01,188
MedicalRecord,FILL_PRINT_ORD_HX,PACKAGE_TYPE,1,21,0.02778,0.01567,0.02173,0.01,189
MedicalRecord,PHARMACY_NOTES,ACT_PW_COMP,2,49,0.08333,0.09919,0.09126,0.01,190
MedicalRecord,PHARMACY_NOTES,DCP_FORMS_ACTIVITY_COMP,2,49,0.1,0.05235,0.07618,0.01,191
MedicalRecord,PHARMACY_NOTES,LONG_TEXT,6,124,0.0339,0.02017,0.02704,0.01,192
MedicalRecord,PHARMACY_NOTES,ORDERS,2,49,0.00447,0.00341,0.00394,0.01,193
MedicalRecord,PHARMACY_NOTES,ORDER_CATALOG,2,49,0.01389,0.02087,0.01738,0.01,194
MedicalRecord,PHARMACY_NOTES,ORDER_COMMENT,2,49,0.04348,0.06542,0.05445,0.01,195
MedicalRecord,PHARMACY_NOTES,ORDER_DISPENSE,2,49,0.06897,0.05224,0.06061,0.01,196
MedicalRecord,PHARMACY_NOTES,ORDER_INGREDIENT,2,49,0.01923,0.04356,0.0314,0.01,197
MedicalRecord,PHARMACY_NOTES,ORDER_THERAP_SBSTTN,2,49,0.2,0.25258,0.22629,0.01,198
MedicalRecord,PHARMACY_NOTES,PATHWAY,2,49,0.07143,0.04467,0.05805,0.01,199
MedicalRecord,EEM_BENEFIT_ALLOC,EEM_BENEFIT,1,3,1,1,1,0.01,200
MedicalRecord,EEM_BENEFIT_ALLOC,HEALTH_PLAN,1,3,0.05,0.00204,0.02602,0.01,201
MedicalRecord,MRU_LOOKUP_ED_DOC,PAT_ED_RELTN,1,1,0.1,0.01282,0.05641,0.01,202
MedicalRecord,MRU_LOOKUP_ED_DOC,PRSNL,1,1,0.00405,0.00001,0.00203,0.01,203
MedicalRecord,RAD_CONFIG_DATA,LOCATION,1,10,0.01639,0.00216,0.00928,0.01,204
MedicalRecord,PRICE_RANGE,PRICE_SCHED,2,65,0.09524,0.07437,0.08481,0.01,205
MedicalRecord,DMS_MEDIA_METADATA_REF,LONG_TEXT_REFERENCE,1,570,0.05,0.25322,0.15161,0.01,206
MedicalRecord,PAT_ED_RELTN,LONG_BLOB,1,13,0.03333,0.00903,0.02118,0.01,207
MedicalRecord,PAT_ED_RELTN,MRU_LOOKUP_ED_DOC,1,1,0.1,0.01282,0.05641,0.01,208
MedicalRecord,PAT_ED_RELTN,PAT_ED_DOC_ACTIVITY,1,13,0.08333,0.14943,0.11638,0.01,209
MedicalRecord,PAT_ED_RELTN,PAT_ED_FAVORITES,2,16,0.2,0.20513,0.20257,0.01,210
MedicalRecord,PAT_ED_RELTN,PAT_ED_SHORTCUT,3,35,0.3,0.44872,0.37436,0.01,211
MedicalRecord,PAT_ED_RELTN,PRSNL,4,30,0.01581,0.00044,0.00813,0.01,212
MedicalRecord,PAT_ED_RELTN,CODE_VALUE,1,8,0.00198,0.00012,0.00105,0.01,213
MedicalRecord,BILL_ITEM_MODIFIER,BILL_ITEM,4,417,0.18182,0.17175,0.17679,0.01,214
MedicalRecord,BILL_ITEM_MODIFIER,CHARGE,1,396,0.03125,0.24812,0.13969,0.01,215
MedicalRecord,BILL_ITEM_MODIFIER,DISCRETE_TASK_ASSAY,1,12,0.01754,0.00488,0.01121,0.01,216
MedicalRecord,BILL_ITEM_MODIFIER,NOMENCLATURE,1,396,0.00935,0.0521,0.03073,0.01,217
MedicalRecord,BILL_ITEM_MODIFIER,CHARGE_MOD,1,396,0.0625,0.36164,0.21207,0.01,218
MedicalRecord,PW_CAT_RELTN,PATHWAY_CATALOG,2,6,0.11765,0.00958,0.06362,0.01,219
MedicalRecord,PROBLEM_COMMENT,PRSNL,1,4,0.00405,0.00006,0.00206,0.01,220
MedicalRecord,DMS_MEDIA_XREF,DMS_MEDIA_IDENTIFIER,1,4,0.5,0.66667,0.58334,0.01,221
MedicalRecord,WARNING_LABEL_XREF,MEDICATION_DEFINITION,4,219,0.18182,0.28442,0.23312,0.01,222
MedicalRecord,HP_FINANCIAL,HEALTH_PLAN,1,20,0.04348,0.01333,0.02841,0.01,223
MedicalRecord,HP_FINANCIAL,ORGANIZATION,1,20,0.01538,0.00674,0.01106,0.01,224
MedicalRecord,HP_FINANCIAL,PERSON_PLAN_RELTN,1,20,0.0625,0.04024,0.05137,0.01,225
MedicalRecord,CE_DYNAMIC_LABEL,CLINICAL_EVENT,1,4,0.00476,0.00011,0.00244,0.01,226
MedicalRecord,CE_DYNAMIC_LABEL,LONG_TEXT,2,44,0.01136,0.00721,0.00929,0.01,227
MedicalRecord,CHART_PROCESS,CE_EVENT_PRSNL,1,17,0.05882,0.0159,0.03736,0.01,228
MedicalRecord,CHART_PROCESS,CLINICAL_EVENT,1,17,0.00481,0.00049,0.00265,0.01,229
MedicalRecord,WORKING_VIEW_PERSON_SECT,WORKING_VIEW_PERSON,1,76,1,1,1,0.01,230
MedicalRecord,WORKING_VIEW_PERSON_SECT,WORKING_VIEW_PERSONITEM,1,76,1,1,1,0.01,231
MedicalRecord,WORKING_VIEW_PERSON_SECT,WORKING_VIEW_SECTION,1,76,0.5,0.48101,0.49051,0.01,232
MedicalRecord,PAT_ED_FAVORITES,PAT_ED_RELTN,2,16,0.2,0.20513,0.20257,0.01,233
MedicalRecord,PAT_ED_FAVORITES,PAT_ED_SHORTCUT,2,16,0.66667,0.45714,0.56191,0.01,234
MedicalRecord,PAT_ED_FAVORITES,PRSNL,2,16,0.0081,0.00023,0.00417,0.01,235
MedicalRecord,SECTION,RESOURCE_GROUP,2,7,0.07692,0.00763,0.04228,0.01,236
MedicalRecord,ORDER_PROPOSAL_NOTIF,ORDER_PROPOSAL,2,8,0.1,0.02721,0.06361,0.01,237
MedicalRecord,RAD_TECH_FMT_ERPRC_R,RAD_TECH_FIELD,1,4,0.33333,0.16667,0.25,0.01,238
MedicalRecord,RAD_TECH_FMT_ERPRC_R,RAD_TECH_FLD_FMT_R,1,4,1,1,1,0.01,239
MedicalRecord,RAD_TECH_FMT_ERPRC_R,RAD_TECH_FORMAT,1,4,1,1,1,0.01,240
MedicalRecord,MLTM_RXB_ORDER_FREQUENCY_MAP,MLTM_FREQUENCY_MULTIPLIER,1,6,1,1,1,0.01,241
MedicalRecord,DMS_VIEWER,DMS_CONTENT_TYPE,1,2,0.2,0.11765,0.15883,0.01,242
